agency,deutscheBahnStopId,stopName,country,locality_note
OEBB,791254,Kranebitten Süd,Austria,"Kranebitten, district of Innsbruck, Tyrol"
OEBB,4609030,Mittenwald Bahnhof (Bahnhofplatz),Germany,"Mittenwald, Bavaria (served by an OEBB route through Tyrol, but the town itself is German)"
OEBB,691108,Graz Don Bosco Bahnhst (Staatsbahnstraße),Austria,"Graz, Styria"
OEBB,691430,Graz Ostbahnhof (Conrad-von-Hötzendorf-Straße),Austria,"Graz, Styria"
OEBB,696786,Raaba Bahnhst (Nordseite),Austria,"Raaba-Grambach, near Graz, Styria"
OEBB,912107,Wien Dörfelstraße (Eichenstraße/Bahnhofseingang),Austria,Vienna
OEBB,297004,Puch b.Villach Bahnhst (Weißensteiner Straße),Austria,"Puch, part of Weißenstein, Villach-Land, Carinthia"
OEBB,296131,Spittal/Drau-Millstätter See Bahnhof (Busbahnhof),Austria,"Spittal an der Drau, Carinthia"
OEBB,297131,Weißenstein ob der Drau-Kellerberg Bahnhst (Schulstraße),Austria,"Weißenstein/Kellerberg, Carinthia"
OEBB,297145,Ferndorf in Ktn Abzw Bahnhst,Austria,"Ferndorf, Carinthia"
OEBB,297146,Paternion Markt Bahnhst (Vorplatz),Austria,"Paternion, Carinthia"
OEBB,297322,Paternion-Feistritz Bahnhst (Vorplatz),Austria,"Paternion, Carinthia"
OEBB,894402,Gisingen (Feldkirch) Haltestellenweg,Austria,"Gisingen, district of Feldkirch, Vorarlberg"
OEBB,894351,Tisis (Feldkirch) Letzestraße,Austria,"Tisis, district of Feldkirch, Vorarlberg"
OEBB,894282,Feldkirch Bahnhof (Vorplatz),Austria,"Feldkirch, Vorarlberg"
OEBB,894221,Altenstadt (Feldkirch) Bahnhst (Reichsstraße),Austria,"Altenstadt, district of Feldkirch, Vorarlberg"
GTFSDE,8000026,Basel Bad Bf,Switzerland,"Physically in Basel, Switzerland, but managed by DB and numbered as if it were a German station (80 prefix)"
NS,9903148,Airport Charles de Gaulle,France,"Charles de Gaulle Airport, France; its 99 prefix coincidentally matches Iraq's UIC code"
PL,8800605,Olecko,Poland,"Real Polish town, Warmian-Masurian Voivodeship; 88-prefix match is coincidental"
PL,7800361,Lipno,Poland,"Real Polish town, Kuyavian-Pomeranian Voivodeship (Lipno County); distinct from Lipno nad Vltavou in Czech Republic; 78-prefix match is coincidental"
PL,5400243,Chociwel,Poland,"Real Polish town, West Pomeranian Voivodeship; 54-prefix (Czech Republic's real code) match is coincidental"
PL,8706832,Babiak,Poland,"Real Polish town/village; 87-prefix match is coincidental"
PL,8012650,Pleszew,Poland,"Real Polish town, Greater Poland Voivodeship; 80-prefix (Germany's real code) match is coincidental"
PL,8005291,Sarnaki,Poland,"Real Polish town, Masovian Voivodeship; 80-prefix match is coincidental"
PL,8012418,Żychlin,Poland,"Real Polish town, Łódź Voivodeship; 80-prefix match is coincidental"
PL,8010253,Niedźwiedź,Poland,"Real Polish village (several exist, e.g. Greater Poland / West Pomeranian Voivodeship); 80-prefix match is coincidental"
PL,5500433,Dorohusk,Poland,"Real Polish town at the Ukrainian border, Lublin Voivodeship; 55-prefix match is coincidental, no plausible Hungary rail link"
PL,8342602,Baranówka,Poland,"Real Polish village near Kraków, Lesser Poland Voivodeship; 83-prefix match is coincidental"
PL,7600371,Gogolin,Poland,"Real Polish town, Opole Voivodeship; 76-prefix match is coincidental, no plausible Norway rail link"
PL,9400043,Tunel,Poland,"Real Polish stop; 94-prefix match is coincidental"
PL,5600030,Puck,Poland,"Real Polish Baltic coastal town, Pomeranian Voivodeship; 56-prefix match is coincidental"
PL,8501014,Mieszkowice,Poland,"Real Polish town, West Pomeranian Voivodeship; 85-prefix match is coincidental"
PL,7001840,Radymno,Poland,"Real Polish town, Subcarpathian Voivodeship; 70-prefix match is coincidental"
PL,7002462,Warka,Poland,"Real Polish town, Masovian Voivodeship; 70-prefix match is coincidental"
PL,7001711,Parczew,Poland,"Real Polish town, Lublin Voivodeship; 70-prefix match is coincidental"
